-2	0
-1.99	0
-1.98	0
-1.97	0
-1.96	0
-1.95	0
-1.94	0
-1.93	0
-1.92	0
-1.91	0
-1.9	0
-1.89	0
-1.88	0
-1.87	0
-1.86	0
-1.85	0
-1.84	0
-1.83	0
-1.82	0
-1.81	0
-1.8	0
-1.79	0
-1.78	0
-1.77	0
-1.76	0
-1.75	0
-1.74	0
-1.73	0
-1.72	0
-1.71	0
-1.7	0
-1.69	0
-1.68	0
-1.67	0
-1.66	0
-1.65	0
-1.64	0
-1.63	0
-1.62	0
-1.61	0
-1.6	0
-1.59	0
-1.58	0
-1.57	0
-1.56	0
-1.55	0
-1.54	0
-1.53	0
-1.52	0
-1.51	0
-1.5	0
-1.49	0
-1.48	0
-1.47	0
-1.46	0
-1.45	0
-1.44	0
-1.43	0
-1.42	0
-1.41	0
-1.4	0
-1.39	0
-1.38	0
-1.37	0
-1.36	0
-1.35	0
-1.34	0
-1.33	0
-1.32	0
-1.31	0
-1.3	0
-1.29	0
-1.28	0
-1.27	0
-1.26	0
-1.25	0
-1.24	0
-1.23	0
-1.22	0
-1.21	0
-1.2	0
-1.19	0
-1.18	0
-1.17	0
-1.16	0
-1.15	0
-1.14	0
-1.13	0
-1.12	0
-1.11	0
-1.1	0
-1.09	0
-1.08	0
-1.07	0
-1.06	0
-1.05	0
-1.04	0
-1.03	0
-1.02	0
-1.01	0
-1	0
-0.99	0.2
-0.98	0.86
-0.97	1
-0.96	0.32
-0.95	0.18
-0.94	0.66
-0.93	1.1
-0.92	1.92
-0.91	0.56
-0.9	0.54
-0.89	0.8
-0.88	1.14
-0.87	1.02
-0.86	1.1
-0.85	0.94
-0.84	0.82
-0.83	1.2
-0.82	0.5
-0.81	1.06
-0.8	0.84
-0.79	0.8
-0.78	1.56
-0.77	0.64
-0.76	1.08
-0.75	0.8
-0.74	0.78
-0.73	1.26
-0.72	1.36
-0.71	1.2
-0.7	2.06
-0.69	1.18
-0.68	1.5
-0.67	1.4
-0.66	2.46
-0.65	1.76
-0.64	1.74
-0.63	2.96
-0.62	2.26
-0.61	1.88
-0.6	1.74
-0.59	2.78
-0.58	3
-0.57	3.5
-0.56	5.16
-0.55	3.2
-0.54	3.84
-0.53	3.9
-0.52	4.14
-0.51	4.78
-0.5	5.78
-0.49	4.82
-0.48	6.44
-0.47	4.64
-0.46	5.84
-0.45	5.76
-0.44	5.86
-0.43	5.58
-0.42	5.02
-0.41	4.8
-0.4	4.42
-0.39	4.68
-0.38	5.94
-0.37	5.74
-0.36	4.06
-0.35	4.38
-0.34	5.46
-0.33	4.62
-0.32	6.24
-0.31	5.42
-0.3	4.84
-0.29	9.72
-0.28	3.06
-0.27	5.7
-0.26	2.6
-0.25	4.52
-0.24	1.74
-0.23	2.66
-0.22	1.84
-0.21	1.76
-0.2	1.74
