-0.17	3.28
-0.16	3.02
-0.15	3.18
-0.14	3.08
-0.13	3.68
-0.12	3
-0.11	3.46
-0.1	3.36
-0.09	3.3
-0.08	3.74
-0.07	3.62
-0.06	3.42
-0.05	3.72
-0.04	3.74
-0.03	3.6
-0.02	3.54
-0.01	4.44
0	3.78
0.01	3.88
0.02	4.4
0.03	3.6
0.04	3.84
0.05	3.8
0.06	3.58
0.07	3.6
0.08	3.26
0.09	3.6
0.1	3.48
0.11	3.16
0.12	2.88
0.13	3.28
0.14	3.1
0.15	2.96
0.16	3.38
0.17	2.62
0.18	2.8
0.19	2.7
0.2	2.5
0.21	2.6
0.22	2.8
0.23	2.6
0.24	2.36
0.25	1.94
0.26	1.8
0.27	2.38
0.28	2.18
0.29	2.1
0.3	1.96
0.31	2.52
0.32	1.96
0.33	1.32
0.34	1.56
0.35	1.26
0.36	1.22
0.37	1.52
0.38	1.24
0.39	1.3
0.4	1.26
0.41	1.02
0.42	0.86
0.43	0.9
0.44	0.92
0.45	1.1
0.46	0.82
0.47	1.1
0.48	0.82
0.49	0.74
0.5	0.74
0.51	0.76
0.52	0.82
0.53	0.52
0.54	0.62
0.55	0.44
0.56	0.58
0.57	0.58
0.58	0.5
0.59	0.34
0.6	0.48
0.61	0.28
0.62	0.3
0.63	0.38
0.64	0.32
0.65	0.26
0.66	0.24
0.67	0.22
0.68	0.28
0.69	0.24
0.7	0.2
0.71	0.34
0.72	0.18
0.73	0.2
0.74	0.32
0.75	0.14
0.76	0.24
0.77	0.08
0.78	0.14
0.79	0.14
0.8	0.1
0.81	0.12
0.82	0.1
0.83	0.06
0.84	0.08
0.85	0.02
0.86	0.06
0.87	0.08
0.88	0.08
0.89	0
0.9	0.08
0.91	0
0.92	0
0.93	0.04
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	0
