-2	0
-1.99	0
-1.98	0
-1.97	0
-1.96	0
-1.95	0
-1.94	0
-1.93	0
-1.92	0
-1.91	0
-1.9	0
-1.89	0
-1.88	0
-1.87	0
-1.86	0
-1.85	0
-1.84	0
-1.83	0
-1.82	0
-1.81	0
-1.8	0
-1.79	0
-1.78	0
-1.77	0
-1.76	0
-1.75	0
-1.74	0
-1.73	0
-1.72	0
-1.71	0
-1.7	0
-1.69	0
-1.68	0
-1.67	0
-1.66	0
-1.65	0
-1.64	0
-1.63	0
-1.62	0
-1.61	0
-1.6	0
-1.59	0
-1.58	0
-1.57	0
-1.56	0
-1.55	0
-1.54	0
-1.53	0
-1.52	0
-1.51	0
-1.5	0
-1.49	0
-1.48	0
-1.47	0
-1.46	0
-1.45	0
-1.44	0
-1.43	0
-1.42	0
-1.41	0
-1.4	0
-1.39	0
-1.38	0
-1.37	0
-1.36	0
-1.35	0
-1.34	0
-1.33	0
-1.32	0
-1.31	0
-1.3	0
-1.29	0
-1.28	0
-1.27	0
-1.26	0
-1.25	0
-1.24	0
-1.23	0
-1.22	0
-1.21	0
-1.2	0
-1.19	0
-1.18	0
-1.17	0
-1.16	0
-1.15	0
-1.14	0
-1.13	0
-1.12	0
-1.11	0
-1.1	0
-1.09	0
-1.08	0
-1.07	0
-1.06	0
-1.05	0
-1.04	0
-1.03	0
-1.02	0
-1.01	0
-1	0
-0.99	0.28
-0.98	0.02
-0.97	0.32
-0.96	0.2
-0.95	0.04
-0.94	0.02
-0.93	0.04
-0.92	0.02
-0.91	0.38
-0.9	0.22
-0.89	0.26
-0.88	0.4
-0.87	0.36
-0.86	0.08
-0.85	0
-0.84	0.12
-0.83	0.08
-0.82	0.04
-0.81	0.18
-0.8	0.1
-0.79	0.44
-0.78	0.32
-0.77	0.06
-0.76	0.04
-0.75	0.12
-0.74	0.08
-0.73	0.04
-0.72	0.02
-0.71	0.02
-0.7	0.04
-0.69	0.38
-0.68	0.16
-0.67	0.18
-0.66	0.34
-0.65	0.22
-0.64	0.06
-0.63	0.12
-0.62	0.02
-0.61	0.28
-0.6	0.1
-0.59	0.38
-0.58	0.52
-0.57	0.1
-0.56	0.24
-0.55	0.1
-0.54	0.2
-0.53	0.1
-0.52	0.34
-0.51	0.28
-0.5	0.7
-0.49	0.7
-0.48	0.4
-0.47	0.12
-0.46	0.4
-0.45	0.5
-0.44	0.3
-0.43	0.26
-0.42	0.62
-0.41	0.12
-0.4	0.2
-0.39	0.42
-0.38	0.22
-0.37	0.58
-0.36	1.04
-0.35	0.32
-0.34	0.9
-0.33	0.36
-0.32	0.8
-0.31	0.64
-0.3	0.8
-0.29	0.52
-0.28	1.32
-0.27	1.08
-0.26	0.92
-0.25	1.08
-0.24	0.88
-0.23	1.12
-0.22	0.92
-0.21	0.58
-0.2	0.64
